Strategy report
Symbol: SPY
Work Time: 9/22/22 - 9/21/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;NewStrategy0(SellClose);Sell to Close;-1.0;$389.31;9/22/22;$11.93;$15.09;-1.0;
2;NewStrategy0(SOHLCP|SPY|376.58|378.3|373.44|374.22|377.39);Buy to Open;1.0;$377.38;9/22/22;;$11.93;0.0;
3;NewStrategy0(SellClose);Sell to Close;-1.0;$378.30;9/23/22;$4.86;$22.28;-1.0;
4;NewStrategy0(SOHLCP|SPY|370.58|370.62|363.29|367.95|374.22);Buy to Open;1.0;$373.44;9/23/22;;$16.79;0.0;
5;NewStrategy0(SellClose);Sell to Close;-1.0;$370.62;9/26/22;$7.33;$23.10;-1.0;
6;NewStrategy0(SOHLCP|SPY|366.41|370.21|363.0299|364.31|367.95);Buy to Open;1.0;$363.29;9/26/22;;$24.12;0.0;
7;NewStrategy0(SellClose);Sell to Close;-1.0;$370.21;9/27/22;$7.18;$30.95;-1.0;
8;NewStrategy0(SOHLCP|SPY|368.02|370.4|360.87|363.38|364.31);Buy to Open;1.0;$363.03;9/27/22;;$31.30;0.0;
9;NewStrategy0(SellClose);Sell to Close;-1.0;$370.40;9/28/22;$9.53;$31.17;-1.0;
10;NewStrategy0(SOHLCP|SPY|364.38|372.3|362.6|370.53|363.38);Buy to Open;1.0;$360.87;9/28/22;;$40.83;0.0;
11;NewStrategy0(SellClose);Sell to Close;-1.0;$372.30;9/29/22;$9.70;$50.34;-1.0;
12;NewStrategy0(SOHLCP|SPY|366.81|367.11|359.7|362.79|370.53);Buy to Open;1.0;$362.60;9/29/22;;$50.53;0.0;
13;NewStrategy0(SellClose);Sell to Close;-1.0;$367.11;9/30/22;$7.41;$60.46;-1.0;
14;NewStrategy0(SOHLCP|SPY|361.8|365.91|357.04|357.18|362.79);Buy to Open;1.0;$359.70;9/30/22;;$57.94;0.0;
15;NewStrategy0(SellClose);Sell to Close;-1.0;$365.91;10/3/22;$8.87;$57.24;-1.0;
16;NewStrategy0(SOHLCP|SPY|361.08|368.55|359.21|366.61|357.18);Buy to Open;1.0;$357.04;10/3/22;;$66.81;0.0;
17;NewStrategy0(SellClose);Sell to Close;-1.0;$368.55;10/4/22;$9.34;$57.39;-1.0;
18;NewStrategy0(SOHLCP|SPY|372.4|378|366.5677|377.97|366.61);Buy to Open;1.0;$359.21;10/4/22;;$76.15;0.0;
19;NewStrategy0(SellClose);Sell to Close;-1.0;$378.00;10/5/22;$11.43;$77.06;-1.0;
20;NewStrategy0(SOHLCP|SPY|373.39|379.46|370.95|377.09|377.97);Buy to Open;1.0;$366.57;10/5/22;;$87.58;0.0;
21;NewStrategy0(SellClose);Sell to Close;-1.0;$379.46;10/6/22;$8.51;$93.84;-1.0;
22;NewStrategy0(SOHLCP|SPY|375.62|378.72|372.68|373.2|377.09);Buy to Open;1.0;$370.95;10/6/22;;$96.09;0.0;
23;NewStrategy0(SellClose);Sell to Close;-1.0;$378.72;10/7/22;$6.04;$112.02;-1.0;
24;NewStrategy0(SOHLCP|SPY|368.97|373.2933|360.94|362.79|373.2);Buy to Open;1.0;$372.68;10/7/22;;$102.13;0.0;
25;NewStrategy0(SellClose);Sell to Close;-1.0;$373.29;10/10/22;$12.35;$115.41;-1.0;
26;NewStrategy0(SOHLCP|SPY|363.96|364.21|357.67|360.02|362.79);Buy to Open;1.0;$360.94;10/10/22;;$114.49;0.0;
27;NewStrategy0(SellClose);Sell to Close;-1.0;$364.21;10/11/22;$6.54;$120.96;-1.0;
28;NewStrategy0(SOHLCP|SPY|358.235|363.03|355.71|357.74|360.02);Buy to Open;1.0;$357.67;10/11/22;;$121.03;0.0;
29;NewStrategy0(SellClose);Sell to Close;-1.0;$363.03;10/12/22;$7.32;$127.50;-1.0;
30;NewStrategy0(SOHLCP|SPY|358.17|359.8179|356.3|356.56|357.74);Buy to Open;1.0;$355.71;10/12/22;;$128.35;0.0;
31;NewStrategy0(SellClose);Sell to Close;-1.0;$359.82;10/13/22;$3.52;$122.19;-1.0;
32;NewStrategy0(SOHLCP|SPY|349.205|367.51|348.11|365.97|356.56);Buy to Open;1.0;$356.30;10/13/22;;$131.86;0.0;
33;NewStrategy0(SellClose);Sell to Close;-1.0;$367.51;10/14/22;$19.40;$141.74;-1.0;
34;NewStrategy0(SOHLCP|SPY|368.55|370.26|356.96|357.63|365.97);Buy to Open;1.0;$348.11;10/14/22;;$151.26;0.0;
35;NewStrategy0(SellClose);Sell to Close;-1.0;$370.26;10/17/22;$13.30;$154.70;-1.0;
36;NewStrategy0(SOHLCP|SPY|364.01|367.9799|357.2808|366.82|357.63);Buy to Open;1.0;$356.96;10/17/22;;$164.56;0.0;
37;NewStrategy0(SellClose);Sell to Close;-1.0;$367.98;10/18/22;$10.70;$161.41;-1.0;
38;NewStrategy0(SOHLCP|SPY|375.13|375.45|367.52|371.13|366.82);Buy to Open;1.0;$357.28;10/18/22;;$175.26;0.0;
39;NewStrategy0(SellClose);Sell to Close;-1.0;$375.45;10/19/22;$7.93;$182.21;-1.0;
40;NewStrategy0(SOHLCP|SPY|368.99|371.85|365.55|368.5|371.13);Buy to Open;1.0;$367.52;10/19/22;;$183.19;0.0;
41;NewStrategy0(SellClose);Sell to Close;-1.0;$371.85;10/20/22;$6.30;$189.63;-1.0;
42;NewStrategy0(SOHLCP|SPY|368.03|372.67|364.61|365.41|368.5);Buy to Open;1.0;$365.55;10/20/22;;$189.49;0.0;
43;NewStrategy0(SellClose);Sell to Close;-1.0;$372.67;10/21/22;$8.06;$187.87;-1.0;
44;NewStrategy0(SOHLCP|SPY|365.12|374.8|363.54|374.29|365.41);Buy to Open;1.0;$364.61;10/21/22;;$197.55;0.0;
45;NewStrategy0(SellClose);Sell to Close;-1.0;$374.80;10/24/22;$11.26;$193.48;-1.0;
46;NewStrategy0(SOHLCP|SPY|375.89|380.06|373.11|378.87|374.29);Buy to Open;1.0;$363.54;10/24/22;;$208.81;0.0;
47;NewStrategy0(SellClose);Sell to Close;-1.0;$380.06;10/25/22;$6.95;$203.95;-1.0;
48;NewStrategy0(SOHLCP|SPY|378.79|385.25|378.671|384.92|378.87);Buy to Open;1.0;$373.11;10/25/22;;$215.76;0.0;
49;NewStrategy0(SellClose);Sell to Close;-1.0;$385.25;10/26/22;$6.58;$218.99;-1.0;
50;NewStrategy0(SOHLCP|SPY|381.62|387.58|381.35|382.02|384.92);Buy to Open;1.0;$378.67;10/26/22;;$222.34;0.0;
51;NewStrategy0(SellClose);Sell to Close;-1.0;$387.58;10/27/22;$6.23;$229.94;-1.0;
52;NewStrategy0(SOHLCP|SPY|383.07|385|379.33|379.98|382.02);Buy to Open;1.0;$381.35;10/27/22;;$228.57;0.0;
53;NewStrategy0(SellClose);Sell to Close;-1.0;$385.00;10/28/22;$5.67;$224.55;-1.0;
54;NewStrategy0(SOHLCP|SPY|379.87|389.52|379.68|389.02|379.98);Buy to Open;1.0;$379.33;10/28/22;;$234.24;0.0;
55;NewStrategy0(SellClose);Sell to Close;-1.0;$389.52;10/31/22;$9.84;$237.55;-1.0;
56;NewStrategy0(SOHLCP|SPY|386.44|388.4|385.26|386.21|389.02);Buy to Open;1.0;$379.68;10/31/22;;$244.08;0.0;
57;NewStrategy0(SellClose);Sell to Close;-1.0;$388.40;11/1/22;$3.14;$247.96;-1.0;
58;NewStrategy0(SOHLCP|SPY|390.14|390.39|383.29|384.52|386.21);Buy to Open;1.0;$385.26;11/1/22;;$247.22;0.0;
59;NewStrategy0(SellClose);Sell to Close;-1.0;$390.39;11/2/22;$7.10;$262.74;-1.0;
60;NewStrategy0(SOHLCP|SPY|383.9|388.63|374.76|374.87|384.52);Buy to Open;1.0;$383.29;11/2/22;;$254.32;0.0;
61;NewStrategy0(SellClose);Sell to Close;-1.0;$388.63;11/3/22;$13.87;$271.94;-1.0;
62;NewStrategy0(SOHLCP|SPY|371.465|374.2|368.79|371.01|374.87);Buy to Open;1.0;$374.76;11/3/22;;$268.19;0.0;
63;NewStrategy0(SellClose);Sell to Close;-1.0;$374.20;11/4/22;$5.41;$266.04;-1.0;
64;NewStrategy0(SOHLCP|SPY|377|378.87|370|376.35|371.01);Buy to Open;1.0;$368.79;11/4/22;;$273.60;0.0;
65;NewStrategy0(SellClose);Sell to Close;-1.0;$378.87;11/7/22;$8.87;$272.52;-1.0;
66;NewStrategy0(SOHLCP|SPY|377.71|380.57|375.53|379.95|376.35);Buy to Open;1.0;$370.00;11/7/22;;$282.47;0.0;
67;NewStrategy0(SellClose);Sell to Close;-1.0;$380.57;11/8/22;$5.04;$281.04;-1.0;
68;NewStrategy0(SOHLCP|SPY|381.11|385.12|377.72|382|379.95);Buy to Open;1.0;$375.53;11/8/22;;$287.51;0.0;
69;NewStrategy0(SellClose);Sell to Close;-1.0;$385.12;11/9/22;$7.40;$298.50;-1.0;
70;NewStrategy0(SOHLCP|SPY|379.93|381.14|373.61|374.13|382);Buy to Open;1.0;$377.72;11/9/22;;$294.91;0.0;
71;NewStrategy0(SellClose);Sell to Close;-1.0;$381.14;11/10/22;$7.53;$281.36;-1.0;
72;NewStrategy0(SOHLCP|SPY|388.05|395.04|385.642|394.69|374.13);Buy to Open;1.0;$373.61;11/10/22;;$302.44;0.0;
73;NewStrategy0(SellClose);Sell to Close;-1.0;$395.04;11/11/22;$9.40;$298.97;-1.0;
74;NewStrategy0(SOHLCP|SPY|395.59|399.35|393.61|398.51|394.69);Buy to Open;1.0;$385.64;11/11/22;;$311.84;0.0;
75;NewStrategy0(SellClose);Sell to Close;-1.0;$399.35;11/14/22;$5.74;$316.07;-1.0;
76;NewStrategy0(SOHLCP|SPY|396.66|400.1799|394.83|395.12|398.51);Buy to Open;1.0;$393.61;11/14/22;;$317.58;0.0;
77;NewStrategy0(SellClose);Sell to Close;-1.0;$400.18;11/15/22;$5.35;$319.27;-1.0;
78;NewStrategy0(SOHLCP|SPY|401.15|402.31|394.49|398.49|395.12);Buy to Open;1.0;$394.83;11/15/22;;$322.93;0.0;
79;NewStrategy0(SellClose);Sell to Close;-1.0;$402.31;11/16/22;$7.82;$329.79;-1.0;
80;NewStrategy0(SOHLCP|SPY|396.78|397.78|394.79|395.45|398.49);Buy to Open;1.0;$394.49;11/16/22;;$330.75;0.0;
81;NewStrategy0(SellClose);Sell to Close;-1.0;$397.78;11/17/22;$2.99;$334.29;-1.0;
82;NewStrategy0(SOHLCP|SPY|390.46|394.95|390.14|394.24|395.45);Buy to Open;1.0;$394.79;11/17/22;;$333.74;0.0;
83;NewStrategy0(SellClose);Sell to Close;-1.0;$394.95;11/18/22;$4.81;$332.66;-1.0;
84;NewStrategy0(SOHLCP|SPY|397.74|397.81|393.04|396.03|394.24);Buy to Open;1.0;$390.14;11/18/22;;$338.55;0.0;
85;NewStrategy0(SellClose);Sell to Close;-1.0;$397.81;11/21/22;$4.77;$341.77;-1.0;
86;NewStrategy0(SOHLCP|SPY|394.64|395.82|392.66|394.59|396.03);Buy to Open;1.0;$393.04;11/21/22;;$343.32;0.0;
87;NewStrategy0(SellClose);Sell to Close;-1.0;$395.82;11/22/22;$3.16;$339.24;-1.0;
88;NewStrategy0(SOHLCP|SPY|396.63|400.07|395.1527|399.9|394.59);Buy to Open;1.0;$392.66;11/22/22;;$346.48;0.0;
89;NewStrategy0(SellClose);Sell to Close;-1.0;$400.07;11/23/22;$4.92;$344.13;-1.0;
90;NewStrategy0(SOHLCP|SPY|399.55|402.93|399.31|402.42|399.9);Buy to Open;1.0;$395.15;11/23/22;;$351.40;0.0;
91;NewStrategy0(SellClose);Sell to Close;-1.0;$402.93;11/25/22;$3.62;$352.00;-1.0;
92;NewStrategy0(SOHLCP|SPY|401.83|402.91|401.535|402.33|402.42);Buy to Open;1.0;$399.31;11/25/22;;$355.02;0.0;
93;NewStrategy0(SellClose);Sell to Close;-1.0;$402.91;11/28/22;$1.38;$362.02;-1.0;
94;NewStrategy0(SOHLCP|SPY|399.09|400.81|395.11|395.91|402.33);Buy to Open;1.0;$401.54;11/28/22;;$356.39;0.0;
95;NewStrategy0(SellClose);Sell to Close;-1.0;$400.81;11/29/22;$5.70;$361.97;-1.0;
96;NewStrategy0(SOHLCP|SPY|396.05|397.3|393.3|395.23|395.91);Buy to Open;1.0;$395.11;11/29/22;;$362.09;0.0;
97;NewStrategy0(SellClose);Sell to Close;-1.0;$397.30;11/30/22;$4.00;$351.71;-1.0;
98;NewStrategy0(SOHLCP|SPY|395.49|407.68|393.48|407.68|395.23);Buy to Open;1.0;$393.30;11/30/22;;$366.09;0.0;
99;NewStrategy0(SellClose);Sell to Close;-1.0;$407.68;12/1/22;$14.20;$366.39;-1.0;
100;NewStrategy0(SOHLCP|SPY|408.77|410|404.75|407.38|407.68);Buy to Open;1.0;$393.48;12/1/22;;$380.29;0.0;
101;NewStrategy0(SellClose);Sell to Close;-1.0;$410.00;12/2/22;$5.25;$383.38;-1.0;
102;NewStrategy0(SOHLCP|SPY|402.25|407.86|402.14|406.91|407.38);Buy to Open;1.0;$404.75;12/2/22;;$385.54;0.0;
103;NewStrategy0(SellClose);Sell to Close;-1.0;$407.86;12/5/22;$5.72;$393.81;-1.0;
104;NewStrategy0(SOHLCP|SPY|403.95|404.93|398.17|399.59|406.91);Buy to Open;1.0;$402.14;12/5/22;;$391.26;0.0;
105;NewStrategy0(SellClose);Sell to Close;-1.0;$404.93;12/6/22;$6.76;$402.36;-1.0;
106;NewStrategy0(SOHLCP|SPY|399.42|399.99|391.64|393.83|399.59);Buy to Open;1.0;$398.17;12/6/22;;$398.02;0.0;
107;NewStrategy0(SellClose);Sell to Close;-1.0;$399.99;12/7/22;$8.35;$404.85;-1.0;
108;NewStrategy0(SOHLCP|SPY|392.94|395.64|391.97|393.16|393.83);Buy to Open;1.0;$391.64;12/7/22;;$406.37;0.0;
109;NewStrategy0(SellClose);Sell to Close;-1.0;$395.64;12/8/22;$3.67;$405.77;-1.0;
110;NewStrategy0(SOHLCP|SPY|395.14|397.36|393.2684|396.24|393.16);Buy to Open;1.0;$391.97;12/8/22;;$410.04;0.0;
111;NewStrategy0(SellClose);Sell to Close;-1.0;$397.36;12/9/22;$4.09;$414.12;-1.0;
112;NewStrategy0(SOHLCP|SPY|394.94|397.62|393.15|393.28|396.24);Buy to Open;1.0;$393.27;12/9/22;;$414.13;0.0;
113;NewStrategy0(SellClose);Sell to Close;-1.0;$397.62;12/12/22;$4.47;$412.80;-1.0;
114;NewStrategy0(SOHLCP|SPY|394.11|398.95|393.412|398.95|393.28);Buy to Open;1.0;$393.15;12/12/22;;$418.60;0.0;
115;NewStrategy0(SellClose);Sell to Close;-1.0;$398.95;12/13/22;$5.54;$415.58;-1.0;
116;NewStrategy0(SOHLCP|SPY|410.22|410.49|399.07|401.97|398.95);Buy to Open;1.0;$393.41;12/13/22;;$424.14;0.0;
117;NewStrategy0(SellClose);Sell to Close;-1.0;$410.49;12/14/22;$11.42;$435.23;-1.0;
118;NewStrategy0(SOHLCP|SPY|401.61|405.5|396.31|399.4|401.97);Buy to Open;1.0;$399.07;12/14/22;;$435.56;0.0;
119;NewStrategy0(SellClose);Sell to Close;-1.0;$405.50;12/15/22;$9.19;$451.43;-1.0;
120;NewStrategy0(SOHLCP|SPY|394.3|395.25|387.885|389.63|399.4);Buy to Open;1.0;$396.31;12/15/22;;$444.75;0.0;
121;NewStrategy0(SellClose);Sell to Close;-1.0;$395.25;12/16/22;$7.37;$456.73;-1.0;
122;NewStrategy0(SOHLCP|SPY|385.18|386.575|381.04|383.27|389.63);Buy to Open;1.0;$387.89;12/16/22;;$452.12;0.0;
123;NewStrategy0(SellClose);Sell to Close;-1.0;$386.58;12/19/22;$5.53;$458.67;-1.0;
124;NewStrategy0(SOHLCP|SPY|383.47|383.82|378.28|380.02|383.27);Buy to Open;1.0;$381.04;12/19/22;;$457.65;0.0;
125;NewStrategy0(SellClose);Sell to Close;-1.0;$383.82;12/20/22;$5.54;$460.93;-1.0;
126;NewStrategy0(SOHLCP|SPY|379.23|382.23|377.85|380.54|380.02);Buy to Open;1.0;$378.28;12/20/22;;$463.19;0.0;
127;NewStrategy0(SellClose);Sell to Close;-1.0;$382.23;12/21/22;$4.38;$459.19;-1.0;
128;NewStrategy0(SOHLCP|SPY|383.25|387.41|382.69|386.23|380.54);Buy to Open;1.0;$377.85;12/21/22;;$467.57;0.0;
129;NewStrategy0(SellClose);Sell to Close;-1.0;$387.41;12/22/22;$4.72;$474.26;-1.0;
130;NewStrategy0(SOHLCP|SPY|383.05|386.2134|374.77|380.72|386.23);Buy to Open;1.0;$382.69;12/22/22;;$472.29;0.0;
131;NewStrategy0(SellClose);Sell to Close;-1.0;$386.21;12/23/22;$11.44;$475.59;-1.0;
132;NewStrategy0(SOHLCP|SPY|379.65|383.06|378.03|382.91|380.72);Buy to Open;1.0;$374.77;12/23/22;;$483.73;0.0;
133;NewStrategy0(SellClose);Sell to Close;-1.0;$383.06;12/27/22;$5.03;$485.39;-1.0;
134;NewStrategy0(SOHLCP|SPY|382.79|383.15|379.65|381.4|382.91);Buy to Open;1.0;$378.03;12/27/22;;$488.76;0.0;
135;NewStrategy0(SellClose);Sell to Close;-1.0;$383.15;12/28/22;$3.50;$495.25;-1.0;
136;NewStrategy0(SOHLCP|SPY|381.33|383.39|376.42|376.66|381.4);Buy to Open;1.0;$379.65;12/28/22;;$492.26;0.0;
137;NewStrategy0(SellClose);Sell to Close;-1.0;$383.39;12/29/22;$6.97;$492.21;-1.0;
138;NewStrategy0(SOHLCP|SPY|379.63|384.35|379.08|383.44|376.66);Buy to Open;1.0;$376.42;12/29/22;;$499.23;0.0;
139;NewStrategy0(SellClose);Sell to Close;-1.0;$384.35;12/30/22;$5.27;$501.15;-1.0;
140;NewStrategy0(SOHLCP|SPY|380.64|382.58|378.43|382.43|383.44);Buy to Open;1.0;$379.08;12/30/22;;$504.50;0.0;
141;NewStrategy0(SellClose);Sell to Close;-1.0;$382.58;1/3/23;$4.15;$506.26;-1.0;
142;NewStrategy0(SOHLCP|SPY|384.37|386.43|377.831|380.82|382.43);Buy to Open;1.0;$378.43;1/3/23;;$508.65;0.0;
143;NewStrategy0(SellClose);Sell to Close;-1.0;$386.43;1/4/23;$8.60;$511.32;-1.0;
144;NewStrategy0(SOHLCP|SPY|383.18|385.88|380|383.76|380.82);Buy to Open;1.0;$377.83;1/4/23;;$517.25;0.0;
145;NewStrategy0(SellClose);Sell to Close;-1.0;$385.88;1/5/23;$5.88;$523.75;-1.0;
146;NewStrategy0(SOHLCP|SPY|381.72|381.84|378.76|379.38|383.76);Buy to Open;1.0;$380.00;1/5/23;;$523.13;0.0;
