name,trades,win_rate,avg_return,total_return,avg_days,sharpe,max_drawdown
LB3 -> LB2,20,85.0,3.712,101.58,16.6,2.6841,-17.69
LB3 -> LB1,20,90.0,10.5206,615.0,25.3,5.2072,-2.2
LB3 -> Midline,20,100.0,16.3561,1887.85,55.0,4.7526,0.0
LB3 -> UB1,20,100.0,24.2181,7149.93,83.1,4.6215,0.0
LB3 -> UB2,20,100.0,35.4863,42116.36,352.8,4.2302,0.0
LB3 -> UB3,20,100.0,35.4863,42116.36,352.8,4.2302,0.0
LB2 -> LB1,50,94.0,6.9759,2611.97,18.6,4.4459,-2.33
LB2 -> Midline,50,98.0,11.0954,16908.61,58.1,2.9172,-0.53
LB2 -> UB1,50,100.0,17.7834,300782.29,105.1,2.7656,0.0
LB2 -> UB2,50,100.0,31.1212,70931649.67,450.5,3.2567,0.0
LB2 -> UB3,50,100.0,31.1212,70931649.67,450.5,3.2567,0.0
UB3 -> UB2,1,100.0,1.3704,1.37,3.0,,0.0
UB3 -> UB1,1,100.0,3.3952,3.4,4.0,,0.0
UB3 -> Midline,1,100.0,5.5503,5.55,7.0,,0.0
UB3 -> LB1,1,100.0,7.8626,7.86,7.0,,0.0
UB3 -> LB2,1,100.0,6.9333,6.93,268.0,,0.0
UB3 -> LB3,1,100.0,14.41,14.41,325.0,,0.0
UB2 -> UB1,14,100.0,1.8814,29.76,8.4,12.629,0.0
UB2 -> Midline,14,100.0,4.0048,73.2,11.4,22.59,0.0
UB2 -> LB1,14,100.0,6.2834,134.6,11.4,34.6826,0.0
UB2 -> LB2,14,100.0,5.3676,107.83,272.4,6.1027,0.0
UB2 -> LB3,14,100.0,12.7349,435.33,329.4,12.3061,0.0
UB1 -> Midline,201,83.58,1.8133,3416.45,36.8,2.0585,-31.83
UB1 -> LB1,201,69.15,1.3702,1302.34,87.9,0.746,-46.8
UB1 -> LB2,201,38.31,-1.2967,-95.02,244.0,-0.2182,-99.4
UB1 -> LB3,201,81.59,5.8155,5364142.91,266.7,0.7748,-70.78
